설립구분,학교명,도로명주소,설립일자
사립,경기초등학교,서울특별시 서대문구 경기대로9길 10,19641203
사립,경복초등학교,서울특별시 광진구 천호대로130길 58,19650302
사립,경희초등학교,서울특별시 동대문구 경희대로 26,19610331
사립,계성초등학교,서울특별시 서초구 신반포로19길 23,18820908
사립,광운초등학교,서울특별시 성북구 한천로 694,19651025
사립,금성초등학교,서울특별시 중랑구 신내로21길 55,19650607
사립,대광초등학교,서울특별시 성북구 안암로 5,19651201
사립,동광초등학교,서울특별시 금천구 탑골로10길 45,20010301
사립,동북초등학교,서울특별시 도봉구 시루봉로 53,19640404
사립,동산초등학교,서울특별시 중구 매봉18길 109,19660310
사립,리라초등학교,서울특별시 중구 소파로2길 7,19650520
사립,매원초등학교,서울특별시 성북구 북악산로 870,19631205
사립,명지초등학교,서울특별시 서대문구 명지2길 32-20,19670315
사립,상명대학교사범대학부속초등학교,서울특별시 종로구 홍지문2길 1,19660312
사립,상명초등학교,서울특별시 노원구 덕릉로 541,19640206
공립,서울가곡초등학교,서울특별시 강서구 공항대로36길 74,19920715
공립,서울가동초등학교,서울특별시 송파구 중대로20길 47,19900425
공립,서울가락초등학교,서울특별시 송파구 송파대로37길 45,19810909
공립,서울가산초등학교,서울특별시 금천구 남부순환로 1304-11,19830625
공립,서울가양초등학교,서울 강서구 허준로 186,19920715
공립,서울가원초등학교,서울특별시 송파구 중대로4길 8,19881208
공립,서울가인초등학교,서울특별시 도봉구 도봉로136다길 4,20031230
공립,서울가재울초등학교,서울특별시 서대문구 모래내로15길 61,20160301
공립,서울가주초등학교,서울특별시 송파구 오금로40길 37,19960810
공립,서울갈산초등학교,서울특별시 양천구 목동로 31,19870909
공립,서울갈현초등학교,서울특별시 은평구 연서로29길 31,19661202
공립,서울강남초등학교,서울특별시 동작구 강남초등길 15,19451102
공립,서울강덕초등학교,서울특별시 강동구 동남로82길 94-54,19861217
공립,서울강동초등학교,서울특별시 강동구 상암로14길 77,19760818
공립,서울강명초등학교,서울특별시 강동구 상일로 74-1,20110301
공립,서울강빛초등학교,서울특별시 강동구 아리수로93다길 1,20210301
공립,서울강서초등학교,서울특별시 양천구 오목로 31,19801018
공립,서울강솔초등학교,서울특별시 강동구 고덕로97길 80,20170301
공립,서울강신초등학교,서울특별시 양천구 월정로 280,19850419
공립,서울강월초등학교,서울특별시 양천구 신월로 97,19880209
공립,서울강일초등학교,서울특별시 강동구 아리수로98길 24,19930720
공립,서울개롱초등학교,서울특별시 송파구 문정로 211,20071101
공립,서울개명초등학교,서울특별시 구로구 개봉로1다길 16-9,19831203
공립,서울개봉초등학교,서울특별시 구로구 개봉로16길 30-11,19710901
공립,서울개운초등학교,서울특별시 성북구 정릉로48길 52,20020710
공립,서울개웅초등학교,서울특별시 구로구 개봉로11길 98,19980731
공립,서울개원초등학교,서울특별시 강남구 선릉로 29,19820920
공립,서울개일초등학교,서울특별시 강남구 개포로 401,19871117
공립,서울개포초등학교,서울특별시 강남구 삼성로4길 30,19830510
공립,서울개현초등학교,서울특별시 강남구 선릉로 15,20240301
공립,서울개화초등학교,서울특별시 강서구 양천로 11,19560510
공립,서울거여초등학교,서울특별시 송파구 마천로25길 18,19670915
공립,서울거원초등학교,서울특별시 송파구 양산로2길 26,19970901
공립,서울경동초등학교,서울특별시 성동구 성수일로 34,19131001
공립,서울경수초등학교,서울특별시 성동구 뚝섬로13길 22,19820429
공립,서울경인초등학교,서울특별시 양천구 안양천로 1009,19861127
공립,서울경일초등학교,서울특별시 성동구 뚝섬로 332,19841031
공립,서울계남초등학교,서울특별시 양천구 목동동로2길 54,19790506
공립,서울계상초등학교,서울특별시 노원구 한글비석로41가길 24,19830701
공립,서울고덕초등학교,서울특별시 강동구 아리수로82길 42,19831203
공립,서울고명초등학교,서울특별시 강동구 고덕로46길 53,19801129
공립,서울고산초등학교,서울특별시 구로구 중앙로 6,19910902
공립,서울고원초등학교,서울특별시 구로구 경인로46길 13,20040301
공립,서울고은초등학교,서울특별시 서대문구 모래내로 441,19711203
공립,서울고일초등학교,서울특별시 강동구 구천면로93길 20,19831203
공립,서울고척초등학교,서울특별시 구로구 경서로 31,19671206
공립,서울고현초등학교,서울특별시 강동구 상일로11길 110,20200301
공립,서울공덕초등학교,서울특별시 마포구 만리재옛길 13,19440411
공립,서울공릉초등학교,서울특별시 노원구 동일로173길 12,19790404
공립,서울공연초등학교,서울특별시 노원구 동일로192가길 16,19820707
공립,서울공진초등학교,서울특별시 강서구 마곡서로 33,19921125
공립,서울공항초등학교,서울특별시 강서구 마곡서1로 68,19821110
공립,서울관악초등학교,서울 관악구 청룡4길 49,19711204
공립,서울광남초등학교,서울특별시 광진구 아차산로70길 35,19900120
공립,서울광장초등학교,서울특별시 광진구 광장로1길 27,19461110
공립,서울광진초등학교,서울특별시 광진구 자양로40길 41,20030901
공립,서울광희초등학교,서울특별시 중구 다산로 269,18950719
공립,서울교동초등학교,서울특별시 종로구 삼일대로 446,18940918
국립,서울교육대학교부설초등학교,서울특별시 서초구 서초중앙로 96,19530131
공립,서울구남초등학교,서울특별시 광진구 구의강변로 69,19980301
공립,서울구로남초등학교,서울특별시 구로구 디지털로27길 76,19640311
공립,서울구로초등학교,서울특별시 구로구 구로중앙로27나길 9,19500620
공립,서울구룡초등학교,서울특별시 강남구 개포로 263,19831130
공립,서울구산초등학교,서울특별시 은평구 서오릉로15길 16,19771129
공립,서울구암초등학교,서울특별시 관악구 구암길 1,19770211
공립,서울구의초등학교,서울특별시 광진구 광나루로30길 49,19811226
공립,서울구일초등학교,서울특별시 구로구 구일로 68,19871022
공립,서울구현초등학교,서울특별시 은평구 갈현로15길 51,20081231
공립,서울군자초등학교,서울특별시 동대문구 한천로6길 21,19730106
공립,서울금나래초등학교,서울특별시 금천구 시흥대로79길 37,20170301
공립,서울금동초등학교,서울특별시 금천구 금하로30길 53,20030301
공립,서울금북초등학교,서울특별시 성동구 행당로1길 13,19681126
공립,서울금산초등학교,서울특별시 금천구 시흥대로24길 57,19980731
공립,서울금양초등학교,서울특별시 용산구 효창원로 137,19150910
공립,서울금옥초등학교,서울특별시 성동구 독서당로 251,19620412
공립,서울금천초등학교,서울특별시 금천구 탑골로5길 60,19831007
공립,서울금호초등학교,서울특별시 성동구 무수막길 69,19580401
공립,서울금화초등학교,서울특별시 서대문구 통일로 165,19240324
공립,서울길동초등학교,서울특별시 강동구 양재대로116길 69,19730106
공립,서울길원초등학교,서울특별시 성북구 길음로15길 55,20060105
공립,서울길음초등학교,서울특별시 성북구 길음로 142,19841205
공립,서울난곡초등학교,서울특별시 관악구 난곡로35길 102,19710422
공립,서울난우초등학교,서울특별시 관악구 난우길 40,19761203
공립,서울난향초등학교,서울특별시 관악구 난향길 9,19810406
공립,서울남명초등학교,서울특별시 양천구 중앙로23길 3,19911030
공립,서울남부초등학교,서울특별시 관악구 남부순환로163길 14,19851008
공립,서울남사초등학교,서울특별시 동작구 동작대로13길 22,19790927
공립,서울남산초등학교,서울특별시 중구 퇴계로22길 17,19451101
공립,서울남성초등학교,서울특별시 동작구 사당로23길 57-14,19670915
공립,서울남정초등학교,서울특별시 용산구 원효로64길 17-10,19451101
공립,서울남천초등학교,서울특별시 송파구 성내천로 207,19831203
공립,서울내발산초등학교,서울특별시 강서구 강서로46길 23,19831203
공립,서울노량진초등학교,서울특별시 동작구 장승배기로 160,19480320
공립,서울노원초등학교,서울특별시 노원구 동일로230나길 32,19720902
공립,서울노일초등학교,서울특별시 노원구 동일로 1625,19941110
공립,서울녹번초등학교,서울특별시 은평구 녹번로1길 1,19820924
공립,서울녹천초등학교,서울특별시 노원구 마들로3길 34,19950110
공립,서울논현초등학교,서울특별시 강남구 강남대로120길 33,19721123
공립,서울누원초등학교,서울특별시 도봉구 마들로 859-44,19930720
공립,서울답십리초등학교,서울특별시 동대문구 전농로3길 23,19620201
공립,서울당곡초등학교,서울특별시 관악구 보라매로2길 23,19740910
공립,서울당산초등학교,서울특별시 영등포구 선유로55길 32,19450815
공립,서울당서초등학교,서울특별시 영등포구 당산로 187,19840730
공립,서울당중초등학교,서울특별시 영등포구 선유로 131,19491028
공립,서울당현초등학교,서울특별시 노원구 동일로213길 52,19880209
공립,서울대곡초등학교,서울특별시 강남구 남부순환로 3022,19810909
공립,서울대길초등학교,서울특별시 영등포구 대방천로 206,19830914
공립,서울대도초등학교,서울특별시 강남구 선릉로 209,19790327
공립,서울대동초등학교,서울특별시 영등포구 대림로21길 6,19801002
공립,서울대림초등학교,서울특별시 동작구 대방동1길 22,19730801
공립,서울대명초등학교,서울특별시 강동구 상암로 271,19860301
공립,서울대모초등학교,서울특별시 강남구 광평로20길 27,19940805
공립,서울대방초등학교,서울특별시 영등포구 여의대방로35길 14,19550427
공립,서울대신초등학교,서울특별시 서대문구 이화여대2길 27,19650310
공립,서울대영초등학교,서울특별시 영등포구 신길로23길 43,19871221
공립,서울대왕초등학교,서울특별시 강남구 헌릉로618길 8,19321125
공립,서울대은초등학교,서울특별시 은평구 통일로69길 12-15,19821008
공립,서울대조초등학교,서울특별시 은평구 연서로18길 17,19670915
공립,서울대진초등학교,서울특별시 강남구 개포로109길 74,19920715
공립,서울대청초등학교,서울특별시 강남구 양재대로55길 28,19930227
공립,서울대치초등학교,서울특별시 강남구 양재천로 363,19840509
국립,서울대학교사범대학부설초등학교,서울특별시 종로구 대학로 64,18950416
공립,서울대현초등학교,서울특별시 강남구 역삼로98길 16,19841205
공립,서울덕수초등학교,서울특별시 중구 덕수궁길 140,19120401
공립,서울덕암초등학교,서울특별시 노원구 덕릉로112길 68,20030106
공립,서울덕의초등학교,서울특별시 구로구 고척로 213,19831201
공립,서울도곡초등학교,서울특별시 강남구 선릉로64길 33,19740901
공립,서울도림초등학교,서울특별시 영등포구 가마산로65길 22,19560324
공립,서울도봉초등학교,서울특별시 도봉구 도봉로173길 96,19660628
공립,서울도성초등학교,서울특별시 강남구 역삼로 313,19810613
공립,서울도신초등학교,서울특별시 영등포구 도림로53길 32-9,19731213
공립,서울독립문초등학교,서울특별시 종로구 통일로12길 23,19570928
공립,서울독산초등학교,서울특별시 금천구 시흥대로104길 31,19770901
공립,서울돈암초등학교,서울특별시 성북구 동소문로13길 38,19440930
공립,서울동교초등학교,서울특별시 마포구 월드컵로25길 86,19740901
공립,서울동구로초등학교,서울특별시 구로구 구로중앙로14길 43,19710901
공립,서울동답초등학교,서울특별시 동대문구 답십리로60길 12,19831203
공립,서울동명초등학교,서울특별시 성동구 마장로29길 29,19441010
공립,서울동신초등학교,서울특별시 성북구 보문사길 50,19481101
공립,서울동원초등학교,서울특별시 중랑구 송림길 114,19910121
공립,서울동의초등학교,서울특별시 광진구 영화사로 111,19870709
공립,서울동일초등학교,서울특별시 노원구 한글비석로 566,19880928
공립,서울동자초등학교,서울특별시 광진구 뚝섬로 561,19841205
공립,서울동작초등학교,서울특별시 동작구 동작대로29길 214,19820707
공립,서울동호초등학교,서울특별시 성동구 매봉길 49-35,20100301
공립,서울두산초등학교,서울특별시 금천구 범안로11길 3,19850701
공립,서울둔촌초등학교,서울특별시 강동구 양재대로88길 27,19791220
공립,서울등마초등학교,서울특별시 강서구 등촌로35길 12,20061228
공립,서울등명초등학교,서울특별시 강서구 강서로56나길 34,19950901
공립,서울등서초등학교,서울특별시 강서구 화곡로58길 86,19841102
공립,서울등양초등학교,서울특별시 강서구 강서로56나길 140,19941130
공립,서울등원초등학교,서울특별시 강서구 화곡로65길 90,19941101
공립,서울등촌초등학교,서울특별시 강서구 등촌로39길 71,19820707
공립,서울등현초등학교,서울특별시 강서구 화곡로65길 124,19950110
공립,서울마장초등학교,서울특별시 성동구 마장로35나길 31,20050301
공립,서울마천초등학교,서울특별시 송파구 마천로61다길 24,19780201
공립,서울마포초등학교,서울특별시 마포구 도화2길 64,19100624
공립,서울망우초등학교,서울특별시 중랑구 망우로72길 49,19760820
공립,서울망원초등학교,서울특별시 마포구 방울내로5길 28,19831231
공립,서울매동초등학교,서울특별시 종로구 사직로9길 19,18951115
공립,서울매봉초등학교,서울특별시 구로구 고척로21길 55,19850701
공립,서울매헌초등학교,서울특별시 서초구 언남길 8,20080301
공립,서울면남초등학교,서울특별시 중랑구 면목로30나길 38,19820701
공립,서울면동초등학교,서울특별시 중랑구 면목로57길 32,19780901
공립,서울면목초등학교,서울특별시 중랑구 면목로 434,19300401
공립,서울면북초등학교,서울특별시 중랑구 용마공원로5길 32,19830701
공립,서울면일초등학교,서울특별시 중랑구 용마산로100길 13,19830421
공립,서울면중초등학교,서울특별시 중랑구 용마산로70길 43,19760605
공립,서울명덕초등학교,서울특별시 강동구 양재대로156길 11,19841205
공립,서울명신초등학교,서울특별시 종로구 낙산길 250,19711006
공립,서울명원초등학교,서울특별시 강동구 명일로 364,19861217
공립,서울명일초등학교,서울특별시 강동구 고덕로38길 8,19800510
공립,서울목동초등학교,서울특별시 양천구 목동동로12길 12,19731211
공립,서울목운초등학교,서울특별시 양천구 목동동로 235,20090301
공립,서울목원초등학교,서울특별시 양천구 목동중앙로 204,19950605
공립,서울묘곡초등학교,서울특별시 강동구 동남로79길 46,19850710
공립,서울무학초등학교,서울특별시 성동구 무학봉15길 21,19150901
공립,서울묵동초등학교,서울특별시 중랑구 동일로138길 27,19721025
공립,서울묵현초등학교,서울특별시 중랑구 동일로157길 75,20040901
공립,서울문교초등학교,서울특별시 금천구 독산로54길 102,19930227
공립,서울문덕초등학교,서울특별시 송파구 송이로34길 60,19930720
공립,서울문래초등학교,서울특별시 영등포구 문래로 104,19850710
공립,서울문백초등학교,서울특별시 금천구 시흥대로47길 43-1,19810713
공립,서울문성초등학교,서울특별시 금천구 시흥대로 460,19551207
공립,서울문정초등학교,서울특별시 송파구 문정로5길 20,19841205
공립,서울문창초등학교,서울특별시 동작구 신대방2길 14,19460406
공립,서울문현초등학교,서울특별시 송파구 충민로 137,20070901
공립,서울미동초등학교,서울특별시 서대문구 충정로 52,18960501
공립,서울미래초등학교,서울특별시 구로구 새말로 73,20020301
공립,서울미성초등학교,서울특별시 관악구 문성로 79,19800417
공립,서울미아초등학교,서울특별시 성북구 삼양로 77,19620328
공립,서울미양초등학교,서울특별시 강북구 솔샘로 195,19710105
공립,서울반원초등학교,서울특별시 서초구 잠원로3길 28,19810805
공립,서울반포초등학교,서울특별시 서초구 신반포로 55-4,19740320
공립,서울발산초등학교,서울특별시 강서구 강서로45길 113,19791018
공립,서울방배초등학교,서울특별시 서초구 방배중앙로13길 26,19750912
공립,서울방산초등학교,서울특별시 송파구 오금로27길 42,19911030
공립,서울방이초등학교,서울특별시 송파구 위례성대로10길 4,19810909
공립,서울방일초등학교,서울특별시 서초구 방배로18길 52,19840730
공립,서울방학초등학교,서울특별시 도봉구 도당로9길 34,19820707
공립,서울방현초등학교,서울특별시 서초구 효령로4길 58,19900406
공립,서울방화초등학교,서울특별시 강서구 양천로6길 92,19860129
공립,서울배봉초등학교,서울특별시 동대문구 사가정로 193,19710105
공립,서울백산초등학교,서울특별시 금천구 시흥대로38길 78,19730810
공립,서울백석초등학교,서울특별시 강서구 공항대로 491,19840522
공립,서울백운초등학교,서울특별시 도봉구 삼양로146길 17,19800520
공립,서울버들초등학교,서울특별시 송파구 석촌호수로 81,20070901
공립,서울번동초등학교,서울특별시 강북구 오현로 204,19910325
공립,서울보광초등학교,서울특별시 용산구 우사단로 20,19620622
공립,서울보라매초등학교,서울특별시 동작구 여의대방로16길 30,20050301
공립,서울본동초등학교,서울특별시 동작구 노량진로26길 16-40,19480825
공립,서울봉래초등학교,서울특별시 중구 손기정로 73,18950918
공립,서울봉은초등학교,서울특별시 강남구 학동로 610,19820407
공립,서울봉천초등학교,서울특별시 관악구 행운1라길 17,19670915
공립,서울봉현초등학교,서울특별시 관악구 성현로 117,20030106
공립,서울봉화초등학교,서울특별시 중랑구 신내로15길 110,19951115
공립,서울북가좌초등학교,서울특별시 서대문구 거북골로19길 20,19681223
공립,서울북성초등학교,서울특별시 서대문구 북아현로1나길 22,19411101
공립,서울북한산초등학교,서울특별시 은평구 대서문길 42-3,19661206
공립,서울불광초등학교,서울특별시 은평구 불광로 51,19620418
공립,서울불암초등학교,서울특별시 노원구 중계로 178,19930901
공립,서울사근초등학교,서울특별시 성동구 사근동11길 16,19670711
공립,서울사당초등학교,서울특별시 관악구 남현4길 51,19720713
공립,서울삼각산초등학교,서울특별시 강북구 삼양로19길 141,20011231
공립,서울삼광초등학교,서울특별시 용산구 두텁바위로1나길 19,19451101
공립,서울삼릉초등학교,서울특별시 강남구 봉은사로63길 22,19850429
공립,서울삼선초등학교,서울특별시 성북구 보문로29길 106,19490901
공립,서울삼성초등학교,서울특별시 관악구 대학7길 52,19720803
공립,서울삼양초등학교,서울특별시 강북구 삼양로49길 17,19591110
사립,서울삼육초등학교,서울특별시 동대문구 회기로10길 63,19190401
공립,서울삼일초등학교,서울특별시 동작구 사당로23나길 27,20070901
공립,서울삼전초등학교,서울특별시 송파구 백제고분로28길 19,19831007
공립,서울삼정초등학교,서울특별시 강서구 금낭화로 222,19940506
공립,서울상경초등학교,서울특별시 노원구 수락산로 237,19890504
공립,서울상계초등학교,서울특별시 노원구 상계로9길 39,19460911
공립,서울상곡초등학교,서울특별시 노원구 노원로38길 34,19880928
공립,서울상도초등학교,서울특별시 동작구 성대로21길 62,19660206
공립,서울상봉초등학교,서울특별시 중랑구 동일로126가길 11,19831025
공립,서울상수초등학교,서울특별시 노원구 동일로216길 66,19880209
공립,서울상신초등학교,서울특별시 은평구 가좌로 361,19820707
공립,서울상암초등학교,서울특별시 마포구 월드컵북로 353,19720710
공립,서울상원초등학교,서울특별시 노원구 한글비석로54길 119,19890513
공립,서울상월초등학교,서울특별시 노원구 동일로221길 27,19900120
공립,서울상일초등학교,서울특별시 강동구 천호대로 1477,19211002
공립,서울상지초등학교,서울특별시 마포구 월드컵로42길 30,20070605
공립,서울상천초등학교,서울특별시 노원구 덕릉로 443,19890930
공립,서울상현초등학교,서울특별시 동작구 상도로58길 21,20120901
공립,서울새솔초등학교,서울특별시 중랑구 신내역로1길 164,20140301
공립,서울서강초등학교,서울특별시 마포구 독막로 113,19370401
공립,서울서교초등학교,서울특별시 마포구 와우산로23길 20-27,19620712
공립,서울서래초등학교,서울특별시 서초구 방배로 260,19830404
공립,서울서빙고초등학교,서울특별시 용산구 서빙고로51길 14,19451101
공립,서울서신초등학교,서울특별시 은평구 은평터널로 150,20050301
공립,서울서원초등학교,서울특별시 서초구 고무래로 63,19841130
공립,서울서이초등학교,서울특별시 서초구 서운로 35,19831203
공립,서울서일초등학교,서울특별시 서초구 남부순환로339길 38,19861016
공립,서울서정초등학교,서울특별시 양천구 목동로8길 19,19870831
공립,서울서초초등학교,서울특별시 서초구 서운로 178,19801004
공립,서울석계초등학교,서울특별시 성북구 한천로58길 273,20050301
공립,서울석관초등학교,서울특별시 성북구 돌곶이로22길 21,19710525
공립,서울석촌초등학교,서울특별시 송파구 가락로11길 26,19890807
공립,서울선곡초등학교,서울특별시 노원구 광운로2길 1,19740901
공립,서울선린초등학교,서울특별시 강동구 진황도로61길 29,19850701
공립,서울선사초등학교,서울특별시 강동구 올림픽로 837,20010901
공립,서울선유초등학교,서울특별시 영등포구 선유로43가길 14,20070301
공립,서울성내초등학교,서울특별시 강동구 성내로3길 19,19690301
공립,서울성북초등학교,서울특별시 성북구 성북로 102-10,19460901
공립,서울성산초등학교,서울특별시 마포구 양화로3길 94,19690301
공립,서울성서초등학교,서울특별시 마포구 성미산로7길 24,19831203
공립,서울성수초등학교,서울특별시 성동구 아차산로17길 21,19720901
공립,서울성원초등학교,서울특별시 마포구 월드컵로36길 34,19861022
공립,서울성일초등학교,서울특별시 강동구 성내로15길 33,19831006
공립,서울성자초등학교,서울특별시 광진구 뚝섬로56길 7,19840518
공립,서울세검정초등학교,서울특별시 종로구 세검정로9길 1,19481124
공립,서울세곡초등학교,서울특별시 구로구 고척로33길 34,19721101
공립,서울세륜초등학교,서울특별시 송파구 양재대로 1264,19881208
공립,서울세명초등학교,서울특별시 강남구 자곡로 55,20120830
공립,서울소의초등학교,서울특별시 마포구 마포대로24길 42,19330501
공립,서울송례초등학교,서울특별시 송파구 위례순환로 439,20140301
공립,서울송원초등학교,서울특별시 성동구 동일로43길 9,20090301
공립,서울송전초등학교,서울특별시 송파구 석촌호수로 159,19780511
공립,서울송정초등학교,서울특별시 강서구 공항대로3길 18,19360906
공립,서울송중초등학교,서울특별시 강북구 오현로 9,19830701
공립,서울송천초등학교,서울특별시 강북구 삼양로20길 29,19661216
공립,서울송파초등학교,서울특별시 송파구 백제고분로 400,19851021
공립,서울송화초등학교,서울특별시 강서구 방화대로34길 2,19900120
공립,서울수락초등학교,서울특별시 노원구 동일로 1745,19830406
공립,서울수리초등학교,서울특별시 은평구 불광로14길 10-10,20110301
공립,서울수명초등학교,서울특별시 강서구 수명로1길 84,20080301
